lingwa de planeta,inglish,ruski,worda tip,surse
aflui ," (zwo) flow towards, rush towards, stream towards","приливать, притекать; afluisa прилив, наплыв; afluisa e defluisa прилив и отлив",zwo,
afluisa ," (kwo) flow, flood (of tide), rising tide; influx, inflow",,kwo,
afluisa e defluisa , flow and ebb (Origin: a+flui),,exampla-ney frasa,Lidepla
afluisa e defluisa , flow and ebb (Origin: de(s)+flui),,exampla-ney frasa,Lidepla
Afrika , (kwo) Africa,Африка (континент),kwo,
afro-asiatike , (kwel) Afroasiatic,афроазиатский,kwel,
afsos ," (kwo) regret, pity","сожаление; afsosi сожалеть; pa afsos к сожалению; afsosival достойный сожаления; прискорбный, досадный; afsos! жаль! Увы!",kwo,
"afsos-ney, afsosival "," (kwel) regrettable, sad, unfortunate",,kwel,Hindi
afsos! , (exklami) alas! it is a pity!,,exklami-partikla,
afsosi ," (zwo) regret, be sorry about",,zwo,
afte , (konekti) after; in (at the end of),"после (предлог, употребляемый и во временном, и в пространственном значении), вслед; через (во временном значении): un afte otre один за другим; afte to после того, afte tri dey через 3 дня; aftemanya послезавтра; afte vidi - увидев; lopi afte koywan - бежать за кем-либо.  Ela go wek, lu krai koysa afte ela — она уходит, он что-то кричит ей вслед.",konekti-partikla,
afte dwa ora , in two hours,,,
"Afte instali swa in may favorite stula, me bu pri en-stan. "," Once I've installed myself in my favourite chair, I don't like to get up.",,,
afte shao taim ," after little time, shortly",,,
afte to , after that,,exampla-ney frasa,
afte tri dey , in three days,,exampla-ney frasa,
afte un ora , in one hour,,exampla-ney frasa,
afte vidi , having seen,,exampla-ney frasa,
afte yu , after you,,exampla-ney frasa,
aftechi ," (zwo) eat with, eat smth after drinking",закусывать; ta pi un glasakin vodka e aftechi bay marinaden gurka он выпил рюмку водки и закусил маринованным огурцом,zwo,
aftemanya , (kwo) the day after tomorrow,,kwo,
aften ," (taim-komo) afterwards, later on, subsequently","впоследствии: tal ideas bin bifooen e ve bi aften – такие идеи были раньше и будут впоследствии; aften-ney последующий, позднейший",taim-komo,
agenda , (kwo) agenda,повестка дня,kwo,Indonesian
agenta , (kwo) agent (one empowered to act for or represent another),агент (человек); agentaguan агентство,kwo,
agentaguan , (kwo) agency,,kwo,
agita , (kwo) agitation (for the meaning “stirring up of public interest” one can use also “agitasion”),,kwo,
agiti , (zwo) agitate (also to stir up public interest in a cause),"волновать, возбуждать; агитировать; agiti-ney (agiten) взволнованный, возбуждённый; agita волнение, возбуждение; агитация (тж. agitasion)",zwo,
agiti-ney (agiten) ," (kwel) agitated, excited",,kwel,
agni , (kwo) fire,"огонь; пожар (тж.agnibeda); костёр (тж. fogera); agni-ki огонёк; agninka искра, fai agninka искрить; agnika зажигалка; agni-ney огненный; agnisi поджечь, зажечь; agniluma зарево; agniyuan пожарный; agniauto пожарная машина",kwo,
agni-arma , fire-arms,,,
agni-ney , (kwel) aflame; fiery,,kwel,
agni-ston , (kwo) flint; gunflint,"огниво, кремень",kwo,
agniauto , (kwo) fire engine,,kwo,Sanskrit
agnibeda , fire (occurrence of fire in a certain place),,,
agnibrigada , fire-brigade,,,
agnibrigada , fire-brigade,,,
agniluma , (kwo) glow (in sky),,kwo,
agninka , (kwo) spark,,kwo,
agnisi ," (zwo) burn up, fire up; sear",,zwo,
agniyuan , (kwo) fireman,,kwo,
agra ," (kwo) (ploughed) field, tillage","пашня, нива, обрабатываемое поле; agralanda сельская местность; agralande сельский, деревенский; agrajen крестьянин (тж.kisan)",kwo,
agrajen , (kwo) peasant (also “kisan”),,kwo,
agralanda , (kwo) countryside,,kwo,
agralande , (kwel) rural,,kwel,
agrare , (kwel) agrarian,"аграрный, сельскохозяйственный",kwel,
agrava , (kwo) aggravation,,kwo,
agravi , (zwo) aggravate (cf. “vexi”),"1) отягчать, осложнять, углублять; 2) обостряться, ухудшаться (о болезни etc); agrava ухудшение, осложнение",zwo,
agresa , (kwo) aggression,"агрессия; agresi агрессировать, испытывать/совершать агрессию; agresive агрессивный; agreser агрессор",kwo,
agreser , (kwo) aggressor,,kwo,Indonesian
agresi , (zwo) aggress; feel aggression,,zwo,
agresive , (kwel) aggressive,,kwel,
agrisha , (kwo) gooseberry,крыжовник,kwo,Romanian
agude ," (kwel) sharp, acute (also of sound – shrill)","острый (в разных смыслах); резкий, острый, пронзительный (о звуке); agudisi точить, заострять",kwel,
agude angula , acute angle,,,
agudisi , (zwo) sharpen,,zwo,
agudmentanik ," (kwo) wit, wittyman",,kwo,
agudmente , (kwel) witty,"остроумный; agudmentanik остроумный человек, острослов; agudmentika острота; agudmentitaa остроумие",kwel,
agudmentika , (kwo) witticism,,kwo,
agudmentitaa , (kwo) wit (ability) Origin: agude+menta+ney,,kwo,Lidepla
ah , (exklami) ah (expresses strong emotions),,exklami-partikla,
ahaa , (exklami) aha,,exklami-partikla,
ahak , (kwo) lime,известь,kwo,Arabic
ahfi ," (zwo) hide, conceal","прятать, таить, скрывать; ahfi swa прятаться; ahfi-shem (ahfem) тайком; ahfi-ney (ahfen) таимый, тайный; buahfi-ney (buahfen) нескрываемый; ahfishil скрытный; ahfilok тайник; тайное убежище; ahfi-go красться; ahfi-kan подглядывать; ahfi-geim прятки",zwo,
ahfi swa , hide oneself,,exampla-ney frasa,
ahfi-geim , hide-and-seek,,exampla-ney frasa,
ahfi-go ," (zwo) slink, sneak, steal",,zwo,
ahfi-kan ," (zwo) peep, watch furtively",,zwo,Arabic
ahfi-klaida , (kwo) disguise,,kwo,
ahfi-klaidi , (zwo) disguise,,zwo,
ahfi-shem (ahfem) ," (komo) hidingly, in a hiding way",,komo,
ahfilok , (kwo) hiding-place,,kwo,
ahfilok , (kwo) hiding-place,,kwo,
ahfishil ," (kwel) reserved, reticent, secretive",,kwel,
ahir ," (loko-komo) hither, here, this way",,loko-komo,
ahmak , (kwo) fool Syn.: stupida,"дурак, глупец (синоним stupida)",kwo,Arabic
ahuki ," (zwo) hitch, hook, couple, link, catch","цеплять(ся), зацеплять(ся), сцеплять(ся); may palto ahuki a naga e tori - моё пальто зацепилось за гвоздь и порвалось",zwo,
aida ," (exklami) let's go, come along (invitation to go somewhere)","айда, пошли. Aida a riva! Айда на реку! Aida fo yabla! Айда за яблоками!",exklami-partikla,
Aida a riva! , Let’s go to the river!,,exampla-ney frasa,
Aida fo yabla! , Let’s go to get some apples!,,exampla-ney frasa,"Turkish, Slavic"
aika ," (modus-komo) quite, rather","довольно, довольно-таки, весьма",loko-komo,
aika hao , quite well,,exampla-ney frasa,Finnish
ainshtanyum , (kwo) einsteinium (chem.),эйнштейний (хим.),kwo,
aira , (kwo) air,воздух; airaportu аэропорт; airameil авиапочта; airisi аэрировать; airavati проветривать,kwo,
aira kastela , castles in the air,,exampla-ney frasa,
aira-alarma , air-raid warning,,exampla-ney frasa,
airameil , (kwo) airmail,,kwo,
airaportu , (kwo) airport,,kwo,
airavati , (zwo) air (expose to air),,zwo,
airisi , (zwo) aerate,,zwo,
Airland , (kwo) Ireland,Ирландия,kwo,
ais , (kwo) ice,"лёд; ais farki fon akwa bay to ke it es twerde лёд отличается от воды тем, что он твёрдый; aiskrem мороженое; ais-ney ледяной; aisifa обледенение; ais-lenge холодный как лёд",kwo,
ais-lenge , ice-cold,,exampla-ney frasa,
ais-ney ," (kwel) ice, icy,",,kwel,
aisifa , (kwo) icing up,,kwo,
aiskrem , (kwo) ice cream,,kwo,
aiskrem , (kwo) ice-cream,,kwo,
aispluva , (kwo) hail,,kwo,
aiva , (kwo) quince,айва,kwo,"Turkish, Russian"
aivi , (kwo) ivy,плющ,kwo,English
ajibe ," (kwel) queer, weird, odd Syn.: strane, astoni-she, nopinchan","удивительный, чудной, странный, диковинный",kwel,Arabic
ajile ," (kwel) agile, alert, brisk","проворный, шустрый, живой, расторопный; do peda ajile лёгкий на ногу, быстроногий; do menta ajile с живым умом, сообразительный; ajilitaa проворство, прыть, шустрость; ajilisi оживлять, придавать шустрости",kwel,
ajilisi , (zwo) brisk up,,zwo,
ajilitaa ," (kwo) agility, alertness, swiftness, legerity",,kwo,
ajorna ," (kwo) adjournment, postponement, reprieve",,kwo,
ajorni ," (zwo) adjourn, put off, defer (cf. ""deri"")","отложить, отсрочить, оттягивать; ajorna отсрочка",zwo,
ajusti ," (zwo) adjust, regulate, set","настраивать, подстраивать; ajusti kloka подстроить часы; ajusti radio настроить радио",zwo,
"ajusti kloka, ajusti radio "," adjust the clock/watch, adjust the radio",,exampla-ney frasa,
AK ," shortening of “afte Krista” (“AD, anno Domini”)",нашей эры (сокращение от afte Krista),,
akademia , (kwo) academy,академия; akademiayuan академик; akademike академический,kwo,
akademiayuan , (kwo) academician,,kwo,
akademike , (kwel) academic,,kwel,
akasya , (kwo) acacia,акация,kwo,
akauda ," (kwo) the sign ""@"" (Origin: ""a""+kauda)","название символа ""@""",kwo,Lidepla
akaunta , (kwo) account (a registry of pecuniary transactions; a subscription to a service),аккаунт (учётная запись); личный счёт,kwo,
aklama ," (kwo) acclaim, acclamation",,kwo,
aklami ," (zwo) acclaim, praise enthusiastically, cheer","бурно приветствовать, громко аплодировать",zwo,
akompana , (kwo) accompaniment,,kwo,
akompani , (zwo) accompany,"провожать, сопровождать; аккомпанировать; akompana сопровождение, провожание; аккомпанемент. Ob yu mog akompani me a dom? - Можешь проводить меня до дома?",zwo,
akorda , (kwo) chord (combination of pitches sounded simultaneously),аккорд,kwo,
akordion , (kwo) accordion,аккордион,kwo,
akre ," (kwel) acrid, caustic, pungent",едкий,kwel,Spanish
akrobat , (kwo) acrobat,акробат,kwo,Turkish
akselera ," (kwo) acceleration Syn.: mah-kway, fa-kway",,kwo,
akseleri , (zwo) accelerate,ускорять(ся); akselera ускорение,zwo,
aksenta , (kwo) accent,акцент; ударение (тж. переносн.); aksenti делать ударение; акцентировать,kwo,
aksenti ," (zwo) accent, accentuate See also: emfasi",,zwo,
aksepta , (kwo) acceptance,,kwo,
aksepter , (kwo) acceptor,,kwo,
aksepti , (zwo) accept,"принимать; aksepta приём, принятие",zwo,
akses , (kwo) access,доступ; aksesi иметь (получить) доступ; aksesibile доступный,kwo,
aksesi ," (zwo) access, have access to",,zwo,
aksesibile , (kwel) accessible,,kwel,
aksham , (kwo) evening,"вечер: klok sem de aksham в семь вечера; sey aksham этим вечером, сегодня вечером; manya aksham завтра вечером; aksham-ney вечерний",kwo,
akshamfan , (kwo) evening meal; supper,ужин,kwo,Turkish
akshamfan , (kwo) evening meal; supper,ужин,kwo,
aksia , (kwo) share (finance),акция (экон.),kwo,
aksidenta ," (kwo) accident (in an ill sense), mishap",несчастный случай; авария; aksidenta-ney (aksidente) аварийный,kwo,
aksidenta-ney (aksidente) , (kwel) accident-related,,kwel,
akta , (kwo) act; action (smth done),,kwo,
akti , (zwo) act,"действовать; akta акт, поступок, деяние; акт (театр.); akting действие, работа, функционирование; воздействие; aktive активный; aktivenesa активность; aktivitaa деятельность; aktivisi активизировать; aktivisa активизация; aktivista активист; ko-akti-sha сообщник; mah-akti задействовать, привести в действие",zwo,
akting , (kwo) action (functioning; effect),,kwo,
aktinyum , (kwo) actinium (chem.),актиний (хим.),kwo,
aktiva , (kwo) assets (finance),актив (финанс.),kwo,
aktive , (kwel) active,,kwel,
aktivenesa , (kwo) activity (the state or quality of being active),,kwo,
aktivisa , (kwo) activation,,kwo,
aktivisi , (zwo) activate,,zwo,
aktivista , (kwo) activist,,kwo,
aktivitaa , (kwo) activity,,kwo,
aktor , (kwo) actor,актёр,kwo,
aktorina , (kwo) actress,,kwo,
aktoro , (kwo) male actor,,kwo,
aktuale ," (kwel) topical, of current importance, actual",актуальный; aktualisi актуализировать,kwel,
aktum , (kwo) act (theater; legal document),акт (юрид.),kwo,
akumula , (kwo) accumulation,,kwo,
akumuli , (zwo) accumulate,"копить, накапливать; akumula накопление, скопление, аккумуляция",zwo,
akusa , (kwo) accusation,,kwo,
akusi ," (zwo) accuse, inculpate, charge with, indict",обвинять; akusa обвинение,zwo,
akwa , (kwo) water,вода; akwa(-ney) водный: akwa-ney solvitura водный раствор; akwish водянистый; akwa-de-kolonia одеколон; Akwayuan Водолей (знак зодиака),kwo,
akwa-ney , (kwel) water; aqueous,,kwel,
akwa-smuk , (kwo) dice snake,,kwo,Serbian
akwalwo , (kwo) waterfall (Origin: akwa+lwo),водопад,kwo,Lidepla
akwapruf kloka , waterproof watch,,,
akwarium , (kwo) aquarium,аквариум,kwo,Uzbek
akwatuber , (kwo) plumber (one who works with water pipes),водопроводчик,kwo,
akwavirta ," (kwo) whirlpool, vortex",,kwo,
akwira , (kwo) acquisition,,kwo,
akwiri , (zwo) acquire,приобретать; akwira приобретение,zwo,
akwish , (kwel) watery,,kwel,
al ," (konekti) when doing smth, while, at, under (simultaneity, circumstances)","предлог: 1) с инфинитивами глаголов выражает совершение действия во время другого, переводится  деепричастием или предлогом ""при"": Al pasi bus-stopa me vidi-te ke lu stan dar – проходя мимо автобусной остановки, я видел, что он там стоит; al shwo om se – говоря об этом; al kupi auto – покупая машину; 2) указывает на время, обстановку, обстоятельства, выражает одновременность, при: al to – при этом; al lo kel – причём; al bakdao – на обратном пути; al klosi-ney dwar – при закрытых дверях; al sey halat – в этих обстоятельствах; al nau на сей момент, пока что; al un-ney kansa – на первый взгляд; me joi al vidi yu — я рад тебя видеть",konekti-partikla,
al bakdao , on the way back,,exampla-ney frasa,
al bakdao , on the way back,,exampla-ney frasa,
"Al fa-warme, aira expansi e fa-leve.", When air warms it expands and becomes lighter.,,,
al fai adyoo , at parting (kwo) farewell,,kwo,
al fin , at the end,,,
al flaisa ," in flight, in the air, on the wing",,,
al haf-hungi , half-starving,,,
al ke me kuki , while I’m cooking,,exampla-ney frasa,
al klosi-ney dwar ," behind closed doors, with doors closed",,exampla-ney frasa,
al nau ," currently, at the present moment",,exampla-ney frasa,
al nau ," (komo) at the moment, presently; nowadays",,komo,
al pligen gambas , with folded legs,,,
al sertene kondision , under a certain condition,,,
al sey halat , under these circumstances,,exampla-ney frasa,
al shwo om se , when speaking about it,,exampla-ney frasa,
al suryachu , at dawn,,exampla-ney frasa,
al tal halat , under such circumstances,,,Arabic
al un-ney kansa , at first sight,,exampla-ney frasa,
al un-ney kansa , at first sight,,,Mandarin
al un-ney ves , at the first time,,,
al vakue stomak , on an empty stomach,,,
al yao , at will,,,
"al yao salam, tayari ba gwer "," if you want peace, get ready for a war",,,
ala , (kwo) wing,крыло,kwo,
ala-raketa , cruise missile,,,
alarma , (kwo) alarm,тревога; alarmi вызывать тревогу; тревожить; alarmifi встревожиться; alarmi-ney встревоженный; alarmaful тревожный; aira-alarma воздушная тревога,kwo,
alarmi , (zwo) alarm,,zwo,
alarmi-ney , (kwel) alarmed,,kwel,
alarmifi ," (zwo) get alarmed, uneasy",,zwo,
alauda ," (kwo) lark, skylark",жаворонок,kwo,Latin
Albania , (kwo) Albania,Албания,kwo,
albatros , (kwo) albatross (sea bird),альбатрос,kwo,Turkish
album , (kwo) album,альбом,kwo,
alee ," (kwo) lane, walk, path (in a garden, park, etc., generally between rows of trees)",аллея,kwo,
alegre , (kwel) merry; cheerful; lighthearted; lively,весёлый; alegritaa веселье; alegrefai веселиться,kwel,
alegritaa , (kwo) merriment; mirth; gaiety; liveliness,,kwo,
alergia , (kwo) allergy,аллергия; alergike аллергический,kwo,
alergike , (kwel) allergic,,kwel,
alfabet , (kwo) alphabet,алфавит; segun alfabet в алфавитном порядке,kwo,
alga ," (kwo) alga(e): see-weed, kelp, dulse, etc.",водоросль,kwo,
algebra , (kwo) algebra,алгебра,kwo,
algoritma , (kwo) algorithm,алгоритм,kwo,Turkish
aliansa , (kwo) alliance,"союз, альянс; politike aliansa политический союз; alianser союзник",kwo,
alianser , (kwo) ally,,kwo,
alibi , (kwo) alibi,алиби,kwo,
alif , (kwel) tame,"ручной, прирученный, домашний",kwel,Arabic
aligi ," (kwo) attach, append","прилагать, присоединять, прикладывать; aligi fail a leta прикреплять файл к письму; aligi-ney fail вложенный файл",kwo,
aligi fail a leta , attach a file to the letter (Origin: a+ligi),,exampla-ney frasa,Lidepla
Aljiria , (kwo) Algeria,Алжир,kwo,
alkali , (kwo) alkali,щёлочь; alkali-ney щелочной,kwo,
alkali-ney , (kwel) alkaline,,kwel,
alkohol , (kwo) alcohol,"алкоголь, спирт",kwo,
almu , (kwo) alms,милостыня,kwo,
along , (konekti) along,"вдоль, по: along riva вдоль реки, along gata по улице",konekti-partikla,
along riva , along the river,,exampla-ney frasa,
Alpes , (kwo) Alps,Альпы,kwo,
also ," (unisi) therefore, so, then; accordingly; consequently","итак, так что, и вот, следовательно, стало быть, значит",unisi-partikla,German
Also yu bu lai? - Doh! ," So you won't come? - Oh, yes, I will! Syn.: kontrem",,exampla-ney frasa,German
altaike , (kwel) Altaic,алтайский,kwel,
altaimi , (zwo) update (Origin: al+taim+i),"обновлять, приводить в соответствие с современностью",zwo,Lidepla
altar , (kwo) altar,алтарь,kwo,
alterna , (kwo) alternation,,kwo,
alternativa , (kwo) alternative,,kwo,
alternative , (kwel) alternative,альтернативный; alternativa альтернатива,kwel,
alterni ," (zwo) alternate, take turns","чередовать(ся), сменять(ся); alterna чередование; сменность; alterni-yen, alternem попеременно, поочерёдно",zwo,
"alterni-yen, alternem "," (komo) alternately, by turns",,komo,
aluminyum , (kwo) aluminium (chem.),алюминий,kwo,
amasi , (zwo) knead,"месить, замешивать",zwo,Spanish
Amasonas , (kwo) Amazon River,Амазонка (река),kwo,
amator , (kwo) amateur,"любитель, непрофессионал; amator-ney любительский ",kwo,
amator-ney , (kwel) amateur,,kwel,
amaxi ," (modus-komo) at most, not more than",самое большее; не больше чем: to ve duri amaxi un ora это продлится самое большее час,loko-komo,
amba , (kwo) amber,янтарь,kwo,
ambi ," (inplas-kwo, kwel) both",оба,,
Ambi sista pri plei kun doga. , Both sisters like to play with the dog.,,exampla-ney frasa,
ambi taraf konsenti , both sides (parties) agree,,,
ambigue ," (kwel) ambiguous, equivocal","двусмысленный, неоднозначный; ambiguitaa двусмысленность, неоднозначность",kwel,
ambiguitaa , (kwo) ambiguity,,kwo,
ambision , (kwo) ambition,стремление; амбиция; ambisionful амбициозный,kwo,
ambisionful ," (kwel) ambitious, full of ambition",,kwel,
ambrela , (kwo) umbrella,"зонт, зонтик",kwo,Tok Pisin
ambulansia , (kwo) ambulance,скорая помощь (машина),kwo,Hiligaynon
ambush , (kwo) ambush,засада; fai ambush устраивать засаду,kwo,
amen , (exklami) amen,аминь,exklami-partikla,
Amerika , (kwo)America (continent),Америка (континент); Amerika-ney американский; Norde Amerika Северная Америка; Amerika-jen американец (житель США - USA-jen),kwo,
"Amerika Latina, Latinamerika ", (kwo) Latin America,Латинская Америка,kwo,
Amerika-jen , (kwo) American (an inhabitant of the Americas; cf. “USA-jen”),,kwo,
Amerika-ney , (kwel) American (of or pertaining to the Americas),,kwel,
amerikan ," (kwel, kwo) American (of or pertaining to the USA or the American culture; American man)",американец (самоназвание граждан США); американский (выражающий культуру и национальные ценности США); fama-ney amerikan poeta известный американский поэт,kwo-kwel,
amerikyum , (kwo) americium (chem.),америций (хим.),kwo,
amiga , (kwo) friend,"друг; amigo друг-мужчина; amigina подруга; amiga-ney (amige), amigalik дружеский, дружественный; приветливый; amigem дружелюбно; amigitaa дружба; fai amigitaa дружить, сдружиться; beamigi зафрендить; deamigi расфрендить",kwo,
